"Sales","date","Mo","Tu","We","Th","Fr","Sa","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Promo","mav_5d","lag_1d"
9332,"2013-02-01",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8443.2,10359
11123,"2013-02-02",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8445,9332
10095,"2013-02-09",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8963.2,11123
8907,"2013-02-11",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9470.4,10095
7800,"2013-02-12",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9731.6,8907
7983,"2013-02-13",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9219.8,7800
8239,"2013-02-14",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8950,7983
7993,"2013-02-15",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8604.8,8239
9757,"2013-02-16",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8184.4,7993
13163,"2013-02-18",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11060.8,9965
9719,"2013-02-19",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10906,13163
8906,"2013-02-20",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10579.2,9719
9303,"2013-02-21",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10341.4,8906
10623,"2013-02-22",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,10169.6,9303
9708,"2013-02-23",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8527.6,9757
7158,"2013-02-25",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8909.2,9708
7199,"2013-02-26",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8744.2,7158
7256,"2013-02-27",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8536.2,7199
10697,"2013-02-28",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8388.8,7256
9873,"2013-03-01",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8403.6,10697
10541,"2013-03-02",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8436.6,9873
13382,"2013-03-04",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10326.4,10623
9844,"2013-03-05",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10370.2,13382
9357,"2013-03-06",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10395.2,9844
9190,"2013-03-07",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10485.4,9357
10245,"2013-03-08",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,10462.8,9190
9936,"2013-03-09",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9054,10541
8395,"2013-03-11",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9601.4,9936
7676,"2013-03-12",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9829.2,8395
7522,"2013-03-13",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9225,7676
7112,"2013-03-14",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8754.8,7522
7849,"2013-03-15",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8128.2,7112
9446,"2013-03-16",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7710.8,7849
11643,"2013-03-18",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10243.8,10245
10301,"2013-03-19",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9896,11643
9149,"2013-03-20",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9987.4,10301
9466,"2013-03-21",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9945.8,9149
10190,"2013-03-22",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,10001,9466
9875,"2013-03-23",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8069.8,9446
11548,"2013-03-25",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10086.8,10190
10381,"2013-03-26",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10067.8,11548
11014,"2013-03-27",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10083.8,10381
16910,"2013-03-28",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10456.8,11014
14669,"2013-03-30",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9916.6,9875
11522,"2013-04-02",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11346,14669
8922,"2013-04-03",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12228,11522
8692,"2013-04-04",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12442.6,8922
8264,"2013-04-05",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12143,8692
9985,"2013-04-06",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10413.8,8264
10943,"2013-04-08",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10560.6,16910
9238,"2013-04-09",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10774.2,10943
8798,"2013-04-10",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10312.2,9238
8764,"2013-04-11",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9995.6,8798
9492,"2013-04-12",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,9545.6,8764
9901,"2013-04-13",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9378.4,9985
7181,"2013-04-15",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9054.2,9901
6559,"2013-04-16",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8706,7181
6154,"2013-04-17",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8279.4,6559
6390,"2013-04-18",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7857.4,6154
7287,"2013-04-19",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7237,6390
8749,"2013-04-20",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6714.2,7287
11138,"2013-04-22",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9298.4,9492
9166,"2013-04-23",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9337.4,11138
7496,"2013-04-24",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9323,9166
7985,"2013-04-25",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9062.6,7496
8593,"2013-04-26",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,8906.8,7985
9752,"2013-04-27",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6996.6,8749
11140,"2013-04-29",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9107.4,8593
14870,"2013-04-30",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9107.8,11140
12976,"2013-05-02",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10248.6,14870
11335,"2013-05-03",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,11344.6,12976
9713,"2013-05-04",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7951.8,9752
7915,"2013-05-06",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8663.6,9713
8175,"2013-05-07",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8968.6,7915
9078,"2013-05-08",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9146.2,8175
10624,"2013-05-10",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9243.2,9078
10399,"2013-05-11",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9101,10624
12178,"2013-05-13",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11827.4,11335
10091,"2013-05-14",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12312.6,12178
9446,"2013-05-15",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12102.8,10091
8839,"2013-05-16",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11018,9446
9049,"2013-05-17",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10190.6,8839
10853,"2013-05-18",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8968.2,10399
9778,"2013-05-21",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9555.8,10853
7456,"2013-05-22",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9876.4,9778
7078,"2013-05-23",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9552,7456
7737,"2013-05-24",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8842.8,7078
9971,"2013-05-25",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8580.4,7737
11293,"2013-05-27",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10105,9049
9804,"2013-05-28",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9928,11293
9457,"2013-05-29",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9870.6,9804
8975,"2013-05-30",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9872.8,9457
13064,"2013-05-31",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,9900,8975
11592,"2013-06-01",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9022.6,9971
13444,"2013-06-03",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10224.2,13064
10584,"2013-06-04",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10654.4,13444
9537,"2013-06-05",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10810.4,10584
8695,"2013-06-06",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10826.4,9537
9561,"2013-06-07",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,10770.4,8695
8419,"2013-06-08",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8979.2,11592
8917,"2013-06-10",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9171.8,8419
7557,"2013-06-11",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9539.6,8917
7179,"2013-06-12",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9503.6,7557
7680,"2013-06-13",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8326.6,7179
8291,"2013-06-14",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7950.4,7680
9774,"2013-06-15",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7924.8,8291
13108,"2013-06-17",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10406.8,9561
9796,"2013-06-18",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10339.6,13108
9357,"2013-06-19",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10182,9796
9545,"2013-06-20",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10146,9357
9438,"2013-06-21",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,10316,9545
8773,"2013-06-22",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8029,9774
9187,"2013-06-24",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8272.2,8773
8429,"2013-06-25",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8673.8,9187
8218,"2013-06-26",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8823.6,8429
8181,"2013-06-27",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8809,8218
9674,"2013-06-28",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8557.6,8181
10291,"2013-06-29",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8737.8,9674
13203,"2013-07-01",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10419.4,9438
9650,"2013-07-02",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10438.4,13203
9089,"2013-07-03",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10409.2,9650
8899,"2013-07-04",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10355.6,9089
8419,"2013-07-05",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,10226.4,8899
7924,"2013-07-06",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8584.2,10291
7976,"2013-07-08",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8483.2,7924
6554,"2013-07-09",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8434.8,7976
6519,"2013-07-10",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8109.4,6554
6653,"2013-07-11",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7478.4,6519
7137,"2013-07-12",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7125.2,6653
7531,"2013-07-13",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6967.8,7137
11658,"2013-07-15",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9674.4,8419
9349,"2013-07-16",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9365.4,11658
8611,"2013-07-17",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9305.2,9349
8088,"2013-07-18",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9209.6,8611
8236,"2013-07-19",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,9047.4,8088
7589,"2013-07-20",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7019.8,7531
7070,"2013-07-22",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7226.8,7589
5869,"2013-07-23",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7337,7070
6350,"2013-07-24",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7180.2,5869
6893,"2013-07-25",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7022.8,6350
6436,"2013-07-26",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6754.2,6893
7118,"2013-07-27",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6523.6,6436
11092,"2013-07-29",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8964.8,8236
10780,"2013-07-30",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8851.6,11092
13403,"2013-07-31",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9137.8,10780
10622,"2013-08-01",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10096.2,13403
10075,"2013-08-02",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,10603,10622
8898,"2013-08-03",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7124.6,7118
9408,"2013-08-05",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7730.4,8898
7559,"2013-08-06",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8342,9408
7156,"2013-08-07",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8475.2,7559
7481,"2013-08-08",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8619.2,7156
7842,"2013-08-09",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8100.4,7481
9149,"2013-08-10",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7889.2,7842
11913,"2013-08-12",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11009.2,10075
10673,"2013-08-13",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11173.4,11913
10063,"2013-08-14",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11152,10673
8712,"2013-08-15",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10484,10063
9338,"2013-08-16",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,10102,8712
8244,"2013-08-17",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7875.2,9149
8709,"2013-08-19",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8012.2,8244
6887,"2013-08-20",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8322.8,8709
6617,"2013-08-21",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8204,6887
6866,"2013-08-22",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7959,6617
6562,"2013-08-23",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7464.6,6866
8107,"2013-08-24",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7128.2,6562
10157,"2013-08-26",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9893.6,9338
8147,"2013-08-27",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9542.4,10157
8351,"2013-08-28",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9037.2,8147
8283,"2013-08-29",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8694.8,8351
11704,"2013-08-30",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,8609,8283
10740,"2013-08-31",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7727.2,8107
9030,"2013-09-02",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8497.8,10740
7646,"2013-09-03",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8980.4,9030
8203,"2013-09-04",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9136.4,7646
6803,"2013-09-05",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9464.6,8203
6979,"2013-09-06",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8484.4,6803
8461,"2013-09-07",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7732.2,6979
11987,"2013-09-09",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8679.8,11704
10610,"2013-09-10",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9045.8,11987
9365,"2013-09-11",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9538.4,10610
10257,"2013-09-12",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9741.2,9365
10197,"2013-09-13",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10136,10257
9177,"2013-09-14",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7965.6,8461
7911,"2013-09-16",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8271.8,9177
7248,"2013-09-17",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8213.4,7911
6701,"2013-09-18",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8302.4,7248
7017,"2013-09-19",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8246.8,6701
7047,"2013-09-20",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7610.8,7017
8631,"2013-09-21",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7184.8,7047
9908,"2013-09-23",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10170,10197
8701,"2013-09-24",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9754.2,9908
9053,"2013-09-25",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9372.4,8701
8447,"2013-09-26",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9310,9053
9621,"2013-09-27",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,8948,8447
9274,"2013-09-28",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7526.8,8631
11276,"2013-09-30",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7932,9274
9255,"2013-10-01",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8847,11276
10077,"2013-10-02",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9294.6,9255
10204,"2013-10-04",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9900.6,10077
8938,"2013-10-05",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10017.2,10204
12159,"2013-10-07",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9009.4,9621
9872,"2013-10-08",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9459.6,12159
8963,"2013-10-09",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9693.8,9872
9118,"2013-10-10",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9675.8,8963
10062,"2013-10-11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,9810,9118
9716,"2013-10-12",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10174.8,8938
7237,"2013-10-14",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9862.8,9716
7001,"2013-10-15",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9459.2,7237
6657,"2013-10-16",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8844,7001
6259,"2013-10-17",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8134.6,6657
6592,"2013-10-18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7374,6259
9356,"2013-10-19",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6749.2,6592
10284,"2013-10-21",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9893.6,10062
8418,"2013-10-22",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9518.6,10284
7966,"2013-10-23",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9227.8,8418
7618,"2013-10-24",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9028.4,7966
8808,"2013-10-25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,8728.4,7618
9088,"2013-10-26",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7063.4,9356
7645,"2013-10-28",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7480.8,9088
6719,"2013-10-29",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7678.4,7645
7800,"2013-10-30",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7770.4,6719
9091,"2013-10-31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8012,7800
8792,"2013-11-01",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8068.6,9091
